Comment,Description,Designator,Footprint,LibRef,Quantity,Variant,Revision,Trenz-Stock,Value,AN,Case,Center-X(Mil),Center-X(mm),Center-Y(Mil),Center-Y(mm),Layer,Rotation,Pad-X(Mil),Pad-X(mm),Pad-Y(Mil),Pad-Y(mm),Ref-X(Mil),Ref-X(mm),Ref-Y(Mil),Ref-Y(mm)
"470nF","KON 470nF X5R 6.3V SMD","C50","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1216.361","30.896","883.985","22.453","Bottom","90","1216.361","30.896","872.765","22.168","1216.361","30.896","883.985","22.453"
"4.7µF","KON 4.7µF 6.3V X5R SMD","C51","CAPC1005X60N","24719","1","","01","","4.7u","24719","1005 (0402)","1108.886","28.166","692.445","17.588","Bottom","270","1108.886","28.166","710.161","18.038","1108.886","28.166","692.445","17.588"
"4.7µF","KON 4.7µF 6.3V X5R SMD","C52","CAPC1005X60N","24719","1","","01","","4.7u","24719","1005 (0402)","1151.587","29.25","792.659","20.134","Bottom","0","1133.871","28.8","792.659","20.134","1151.587","29.25","792.659","20.134"
"4.7µF","KON 4.7µF 6.3V X5R SMD","C53","CAPC1005X60N","24719","1","","01","","4.7u","24719","1005 (0402)","1177.484","29.908","716.949","18.21","Bottom","270","1177.484","29.908","734.665","18.66","1177.484","29.908","716.949","18.21"
"4.7µF","KON 4.7µF 6.3V X5R SMD","C54","CAPC1005X60N","24719","1","","01","","4.7u","24719","1005 (0402)","1164.034","29.566","1035.613","26.305","Bottom","270","1164.034","29.566","1053.329","26.755","1164.034","29.566","1035.613","26.305"
"4.7µF","KON 4.7µF 6.3V X5R SMD","C55","CAPC1005X60N","24719","1","","01","","4.7u","24719","1005 (0402)","1117.005","28.372","870.744","22.117","Bottom","180","1134.722","28.822","870.744","22.117","1117.005","28.372","870.744","22.117"
"4.7µF","KON 4.7µF 6.3V X5R SMD","C56","CAPC1005X60N","24719","1","","01","","4.7u","24719","1005 (0402)","1076.044","27.332","1025.963","26.059","Bottom","90","1076.044","27.332","1008.246","25.609","1076.044","27.332","1025.963","26.059"
"4.7µF","KON 4.7µF 6.3V X5R SMD","C57","CAPC1005X60N","24719","1","","01","","4.7u","24719","1005 (0402)","1295.371","32.902","727.485","18.478","Bottom","90","1295.371","32.902","709.769","18.028","1295.371","32.902","727.485","18.478"
"4.7µF","KON 4.7µF 6.3V X5R SMD","C58","CAPC1005X60N","24719","1","","01","","4.7u","24719","1005 (0402)","1207.574","30.672","814.65","20.692","Bottom","270","1207.574","30.672","796.933","20.242","1207.574","30.672","814.65","20.692"
"100µF","KON 100µF 6,3V X5R SMD","C59","CAPC3216X180N","23116","1","","01","","100u","23116","3216 (1206)","1000.392","25.41","1024.311","26.018","Bottom","90","1000.392","25.41","964.272","24.493","1000.392","25.41","1024.311","26.018"
"100µF","KON 100µF 6,3V X5R SMD","C60","CAPC3216X180N","23116","1","","01","","100u","23116","3216 (1206)","1141.732","29","1122.047","28.5","Bottom","180","1201.772","30.525","1122.047","28.5","1141.732","29","1122.047","28.5"
"100µF","KON 100µF 6,3V X5R SMD","C61","CAPC3216X180N","23116","1","","01","","100u","23116","3216 (1206)","953.827","24.227","837.448","21.271","Bottom","270","953.827","24.227","897.487","22.796","953.827","24.227","837.448","21.271"
"470nF","KON 470nF X5R 6.3V SMD","C62","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","1358.215","34.499","892.593","22.672","Bottom","0","1346.994","34.214","892.593","22.672","1358.215","34.499","892.593","22.672"
"4.7µF","KON 4.7µF 6.3V X5R SMD","C63","CAPC1005X60N","24719","1","","01","","4.7u","24719","1005 (0402)","1348.046","34.24","926.404","23.531","Bottom","0","1330.33","33.79","926.404","23.531","1348.046","34.24","926.404","23.531"
"470nF","KON 470nF X5R 6.3V SMD","C64","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","665.354","16.9","1196.85","30.4","Top","180","676.575","17.185","1196.85","30.4","665.354","16.9","1196.85","30.4"
"470nF","KON 470nF X5R 6.3V SMD","C65","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","685.039","17.4","1472.441","37.4","Bottom","270","685.039","17.4","1483.661","37.685","685.039","17.4","1472.441","37.4"
